kod,id_requests,id_operation,price_to,id_curency,min_rooms,min_floor,max_floor,id_region,id_motivation_status,id_realtor,fiz_lico,id_relected_to,id_realty_type,id_realty_type2,id_layout,num_rooms,min_sq,max_sq,id_request_status,id_object_status,description,create_date,change_date,metro,id_access_type,id_access_status,change_date,access_change_date,id_realtor2,id_region2,last_date_contact,id_heating_system
5823,803F069E4CE59127A9D3E588E885A879,6EBC4CAB2844A00953073A57FBE66019,,,,,,,,E15FEFF8FC470C8C6C2F355DF7C94D96,A8F0B524CFF4D097B6C5539F404EE5DB,B524BEBAF230B892B049664F132EFA0D,,,,,,,,,Тест,2025-01-29,2025-01-29,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2025-01-29,2025-01-29 17:18:21,6C74C2E98300F2EC7964CE368A18E16C,,2025-01-29 17:18:21,
5822,49EE21D98F397FE3846BBCA44382F422,C0697800F264BD87A6FC66318F7F6EF4,35000,66423F3E7FC9CC4A64B5CEC3C90A7CE9,2,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,19A39D7D1317E8241C052D1E98710A1D,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,3,,,6BB448E41000182B0136B33575971BA7,,Переселенці з Запоріжжя,2024-02-15,2024-02-15,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-15,2024-02-15 11:53:23,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-15 14:35:40,
5821,2F117E35D5EF41266D499E433FE9F43C,C0697800F264BD87A6FC66318F7F6EF4,,,3,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,D80A5EBFFEE43102FE408E4503CC576A,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,Хоче квартиру великою площею в не старих будинках.Має 1кім на обмін.,2024-02-14,2024-02-14,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-14,2024-02-14 16:35:04,BDA99269836409DE658208CFC4939786,,2024-02-14 16:38:00,
5820,4A833FAFEBC578FA231F613F550AD4DA,C0697800F264BD87A6FC66318F7F6EF4,22000,66423F3E7FC9CC4A64B5CEC3C90A7CE9,1,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,567C494699CF939CC5CBF5940B7999F9,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,,2024-02-13,2024-02-13,,EFFCCF448E584668F02D3D9599FE0CE1,F6EE3DE108F18A3B621739E3236F5DB0,2024-02-13,2024-02-13 16:50:14,6C74C2E98300F2EC7964CE368A18E16C,3691EC359F2D7AEEF647E2FFF7356344,2024-02-13 16:50:14,
5819,11567BC44495FDCC8CAB2DC281481B27,C0697800F264BD87A6FC66318F7F6EF4,,,2,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,7DCD19851E201A1F75CF81E41E647D24,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,3,,,6BB448E41000182B0136B33575971BA7,,"Не перший і не останній поверхи,і не 7-8-9",2024-02-13,2024-02-13,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-13,2024-02-13 10:01:00,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-16 10:11:00,
5818,45655108769BB53F29094720E39AB141,C0697800F264BD87A6FC66318F7F6EF4,,,3,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,285DE77040F06CF7C4B5112CC9800B81,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,Дружина військова.,2024-02-12,2024-02-12,,EFFCCF448E584668F02D3D9599FE0CE1,F6EE3DE108F18A3B621739E3236F5DB0,2024-02-12,2024-02-12 11:43:52,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-12 14:24:50,
5817,"0B9B214A6E5342544F4F5F4D11053475",C0697800F264BD87A6FC66318F7F6EF4,,,3,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,B5421D4F1E1EF0992726CB1EF7FC8393,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,Переселенці.Іпотека.Невисокі поверхи.Жили на першому.,2024-02-12,2024-02-12,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-12,2024-02-12 11:11:25,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-12 11:13:00,
5816,DB2D11980304A958AD3A76648BEBC678,C0697800F264BD87A6FC66318F7F6EF4,,,3,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,E95A40145468F07A984B4A16440DBC01,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,Хоче обмін своєї 1кім на 3кім. Має доплату 12000,2024-02-09,2024-02-09,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-09,2024-02-09 14:52:07,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-09 15:37:50,
5815,65D331F5614BB77CFF489687A22B587D,C0697800F264BD87A6FC66318F7F6EF4,,,1,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,F93CD1C78B3896CDBFF2D17B45F44B89,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,В іпотеку.,2024-02-09,2024-02-09,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-09,2024-02-09 10:17:43,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-09 10:17:43,
5814,4B4649582C6CDA0740B5BA666728F97F,C0697800F264BD87A6FC66318F7F6EF4,,,2,,,5CA789AB4036788287D0CBA66003B571,,6C74C2E98300F2EC7964CE368A18E16C,A8F0B524CFF4D097B6C5539F404EE5DB,EF66631BBA42C52FA1BD7E30F3D6C09A,"0EB03DFCCB6A86D9AE93DBB5219BC551","00830B915168D539E64CFC3AF04251BB",,,,,6BB448E41000182B0136B33575971BA7,,,2024-02-08,2024-02-08,,"0AA7044595AA928D5720341EA668E9EC",F6EE3DE108F18A3B621739E3236F5DB0,2024-02-08,2024-02-08 09:56:49,6C74C2E98300F2EC7964CE368A18E16C,,2024-02-08 14:59:00,
